movieId,score,title,genres
589,26.18556815676032,Terminator 2: Judgment Day (1991),Action|Sci-Fi
1200,25.451050765649835,Aliens (1986),Action|Adventure|Horror|Sci-Fi
2762,24.930152293895013,"Sixth Sense, The (1999)",Drama|Horror|Mystery
858,24.314837605309346,"Godfather, The (1972)",Crime|Drama
1387,24.123336036335377,Jaws (1975),Action|Horror
1968,22.924030852869,"Breakfast Club, The (1985)",Comedy|Drama
1036,22.75436455229288,Die Hard (1988),Action|Crime|Thriller
1610,22.52597626895282,"Hunt for Red October, The (1990)",Action|Adventure|Thriller
2918,20.810730011623033,Ferris Bueller's Day Off (1986),Comedy
2804,20.55615107527466,"Christmas Story, A (1983)",Children|Comedy
